,headline,url,date,stock,website_name,article_body
15330,Stocks With Near-Term Upside Potential,http://marketfy.com/product/ecstatic-plays/blog/891/view/99770/,2016-01-08,CI,marketfy,"There are some stocks that we have not been trading for a little while, but, seem to have drawn a bottom, or are in the process of bottoming.  The markets have been volatile this week, and, we have not been trading much.  I want to take a look at some stocks that have upside potential in the near-term.CYBRCYBR popped +8.79% today.  It looks like it is drawing a bottom at around $37.  We could see an upside potential to $46-$52 in the near-term.AMBAAMBA has been working really hard to establish a bottom.  This could have quite an upside potential, perhaps to $70.LCILCI jumped +6.42% today.  It has also turned the corner.  This could easily test $46.BIIBBIIB has been in trouble since August.  It could be turning the corner now.  If it does, it has a LOT of upside!The health insurance stocks are all drawing bottoms.  They were all up today.ANTMCIHUMNear-term targets:  HUM $180-$185; CI $145-$155; ANTM $140-$150.Good night andHappyTrading! ™"
15333,Stocks With Near-Term Upside Potential,http://marketfy.com/product/ecstatic-plays/blog/891/view/99770/,2016-01-03,CI,marketfy,"There are some stocks that we have not been trading for a little while, but, seem to have drawn a bottom, or are in the process of bottoming.  The markets have been volatile this week, and, we have not been trading much.  I want to take a look at some stocks that have upside potential in the near-term.CYBRCYBR popped +8.79% today.  It looks like it is drawing a bottom at around $37.  We could see an upside potential to $46-$52 in the near-term.AMBAAMBA has been working really hard to establish a bottom.  This could have quite an upside potential, perhaps to $70.LCILCI jumped +6.42% today.  It has also turned the corner.  This could easily test $46.BIIBBIIB has been in trouble since August.  It could be turning the corner now.  If it does, it has a LOT of upside!The health insurance stocks are all drawing bottoms.  They were all up today.ANTMCIHUMNear-term targets:  HUM $180-$185; CI $145-$155; ANTM $140-$150.Good night andHappyTrading! ™"
15336,Stocks With Near-Term Upside Potential,http://marketfy.com/product/ecstatic-plays/blog/891/view/99770/,2015-12-29,CI,marketfy,"There are some stocks that we have not been trading for a little while, but, seem to have drawn a bottom, or are in the process of bottoming.  The markets have been volatile this week, and, we have not been trading much.  I want to take a look at some stocks that have upside potential in the near-term.CYBRCYBR popped +8.79% today.  It looks like it is drawing a bottom at around $37.  We could see an upside potential to $46-$52 in the near-term.AMBAAMBA has been working really hard to establish a bottom.  This could have quite an upside potential, perhaps to $70.LCILCI jumped +6.42% today.  It has also turned the corner.  This could easily test $46.BIIBBIIB has been in trouble since August.  It could be turning the corner now.  If it does, it has a LOT of upside!The health insurance stocks are all drawing bottoms.  They were all up today.ANTMCIHUMNear-term targets:  HUM $180-$185; CI $145-$155; ANTM $140-$150.Good night andHappyTrading! ™"
15349,Stocks With Near-Term Upside Potential,http://marketfy.com/product/ecstatic-plays/blog/891/view/99770/,2015-12-11,CI,marketfy,"There are some stocks that we have not been trading for a little while, but, seem to have drawn a bottom, or are in the process of bottoming.  The markets have been volatile this week, and, we have not been trading much.  I want to take a look at some stocks that have upside potential in the near-term.CYBRCYBR popped +8.79% today.  It looks like it is drawing a bottom at around $37.  We could see an upside potential to $46-$52 in the near-term.AMBAAMBA has been working really hard to establish a bottom.  This could have quite an upside potential, perhaps to $70.LCILCI jumped +6.42% today.  It has also turned the corner.  This could easily test $46.BIIBBIIB has been in trouble since August.  It could be turning the corner now.  If it does, it has a LOT of upside!The health insurance stocks are all drawing bottoms.  They were all up today.ANTMCIHUMNear-term targets:  HUM $180-$185; CI $145-$155; ANTM $140-$150.Good night andHappyTrading! ™"
15554,Weekly Wrap-Up Market Forecast Sector Watch SPX Nasdaq XLE TLT FAS IGV GS PNC STI APA APC EOG SLB OXY CYBR FTNT FEYE HUM CI AET UNH ANTM,http://marketfy.com/product/ecstatic-plays/blog/891/view/85322/,2015-06-22,CI,marketfy,"Last week, as expected, the market started on a weak note on Monday, But, buyers soon returned, leading up to a rally on Thursday, after the Fed told investors not to place too much importance on the initial interest hike, as rates are likely to remain low. But, on Friday, some fear returned, as investors shifted their focus back to Greece.We had another nice week, with quite a few nice trades. As shown inmy article on Wednesday night, my Ecstatic Plays portfolio's value pushed higher again! We started the week cashing in on VIX calls (+85.5%) when the market dropped on Monday. Then, we locked in gains on AET calls (+63.9%), as UNH made a buyout offer. I talked quite a bit about MBLY and we scored as high as +53% on MBLY calls on Wednesday. BA calls did well for us with profits as high as +54.6%. Here are the closed trades for the week:To subscribe or to find out more about my Ecstatic Plays services, pleaseCLICK HERE. Join us and see what we are trading next!Tonight, the big news is thatGreece seemingly has come to some senses and made a proposal that EU leaders think they can use as basis to make progress. Back in the US healthcare industry, M&A frenzy continues.ANTM has made a $47 billion bid for CI, which Cigna has rejected. On the other hand, AEThas reported made an offer to acquire HUM, while AET itself is being pursued by UNH. This 5-way ""love affair"" is starting to get messy. Besides AET, I think the other four could all go higher!For the week, theDowwas up +117.11 points;SPXadded +15.88 points;Nasdaqgained +65.9 points. At the time of this writing, Asian markets were mostly up. Gold made a big bounce to $1200/ounce, while oil (WTI) as slightly lower, trading just below $60/barrel. Let's see where the US markets stood after Friday's close:SPXOn Friday, SPX fell 11.25 points to close at 2109.99. It closed above its daily MAs. The MACD has turned up.NasdaqNasdaq dropped 15.95 points to close at 5117. Its MACD went up slightly.Both SPX and Nasdaq now look healthy, thanks to Thursday's big pop. But, both are still within the trading range, even though Nasdaq has made a new all-time high. It is still unclear whether there will be a follow-through to that breakout attempt. For the new week...If you'd like to read the rest of the articles, please subscribe to my Ecstatic Plays product (Click Here)."
15578,Healthcare Merger Frenzy AET CI HUM UNH ANTM,http://marketfy.com/product/ecstatic-plays/blog/891/view/84880/,2015-06-16,CI,marketfy,"Yesterday,I wrote about the speculations going on in the healthcare sector, specifically with the health insurance companies.  We were in both CI and AET.  The CI trade was quick, as it shares popped fast yesterday:This morning AET shares jumped, as I mentioned last night.  We locked in another nice win today, an overnight +63.9% gain:While the market was down yesterday, I also took some profits off the table on our VIX calls for a nice +85.5% profit:To subscribe or to find out more about my Ecstatic Plays services, pleaseCLICK HERE.I think there is still room for these health insurers to go higher.  We have gotten nice gains on the acquiring targets.  I think they have gone quite far and the options are now expensive.  We should turn our attention to the ""acquirers"".  Both ANTM and UNH went up more than $2 today.  These two could go up another $5 or so as the speculations continue.I would wait a day or two on HUM.  HUM jumped a lot about two weeks ago.  If HUM finds itself without a dance partner, people will lock in profits and look elsewhere.Good night andHappyTrading! ™"
15579,Healthcare and Cybersecurity Dominate As Market Slides PANW CYBR FEYE HUM CI AET UNH ANTM,http://marketfy.com/product/ecstatic-plays/blog/891/view/84774/,2015-06-16,CI,marketfy,"While the broader market was under pressure today, buyers were picking up stocks in healthcare and cybersecurity.  As negotiations failed on Sunday between Greece and its creditors, US stocks sold off early on Monday.  Although things bounced off of the morning lows, the broader market still ended in the red.However, two groups stood out.  One is cybersecurity.  Buyers continued to buy up names such as CYBR, PANW, and FEYE.  CYBR hit a new all-time high today at $71.86 and ended up +6.59%.  FEYE added +2.55%.  PANW also made a new high today at $177.4.Healthcares popped higher in the afternoon, as more rumors about potential M&A deals circulated.  CI shares vaulted +12% on rumors that ANTM  may be looking to buy it.  This evening,there was a report that ANTM has made a $45 billion offer for CI.  The was also a report that claims that UNH has approached AET with an offer.  ANTM ended the day up +2.33%.  UNH added +1.13%.  AET gained +4.44%.  Ironically, the loser of the day in this group was HUM, which jumped a week ago from around $180 to over $220 on takeover speculation.  HUM shares were down 2.77% today.It looks like things are heating up in healthcare.  I think both CI and AET will go higher tomorrow.  The interesting thing is that CI may want to buy HUM to ward off ANTM.  This makes HUM interesting again!Good night andHappyTrading! ™"
17462,Daily Trade Recommendations IPHI - MPWR - GOOGL - ICE,http://marketfy.com/product/360-virtual-advisor/blog/1232/view/102686/,2016-02-01,CLX,marketfy,
17466,Daily Trade Recommendations TSN - LXFT - JKHY - CLX,http://marketfy.com/product/360-virtual-advisor/blog/1232/view/102273/,2016-01-25,CLX,marketfy,
17622,Swing-Trading Buy List 3915,http://marketfy.com/product/sotms-trade-of-the-day/blog/913/view/74809/,2015-03-09,CLX,marketfy,
19337,Conservative Momentum Pick Centene CNC,http://marketfy.com/product/dr-stoxx-options-letter/blog/1187/view/120745/,2017-05-09,CNC,marketfy,"Market Talks with Dr. StoxxDrStoxx.comNYSE: CNCCentene CorporationIndex: S&P 500Market Cap: $13.1BCentene works with governments to provide quality health care to those with little or no insurance. It is a component of the S&P500, and has recently shown up on our ""Conservative Momentum"" stock screen. It is currently one of the selections among our ""Top 3 Conservative Momentum Stocks"" listed inThe Momentum Letter(www.DrStoxx.com). The stock is undervalued, trading at under 19x earnings and 14x forward earnings per share, on only 0.3x sales revenues. The company boasts a 5 year sales growth record of 51% per year and 720% growth in the last quarter. Current analyst consensus is 1.9 and a price target of 82.41.The chart below shows a recent breakout above the 75 resistance level with a high base forming. This signals that another leg higher is immanent. We consider shares of Centene to be both an attractive trade and long-term hold."
21586,Stocks On My Radar This Week - 22315,http://marketfy.com/product/sotms-trade-of-the-day/blog/913/view/73361/,2015-02-24,CSX,marketfy,
21666,Stocks On My Radar This Week - 122214,http://marketfy.com/product/sotms-trade-of-the-day/blog/913/view/67776/,2014-12-23,CSX,marketfy,
